track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
Rich Flex,"Drake, 21 Savage",2022,11,4,18,573633020,153
Easy On Me,Adele,2021,10,14,20,1406111294,142
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023,5,11,4,71573339,108
Danger (Spider) (Offset & JID),"Offset, JID",2023,6,2,0,24975653,143
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023,2,14,2,145458418,108
The Real Slim Shady,Eminem,2000,1,1,27,1424589568,104
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",2022,12,16,20,231332117,93
The Color Violet,Tory Lanez,2021,12,10,32,415932686,105
Glimpse of Us,Joji,2022,6,10,6,988515741,170
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2023,5,4,1,50847624,178
Curtains,Ed Sheeran,2023,5,5,0,39893489,176
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,5,1,13,92035115,104
Haegeum,Agust D,2023,4,21,12,118810253,85
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2023,4,30,4,77233241,117
MIENTRAS ME CURO DEL CORA,Karol G,2023,2,24,35,206399629,80
Never Felt So Alone,Labrinth,2023,4,7,3,117747907,98
X SI VOLVEMOS,"Karol G, Romeo Santos",2023,2,2,33,266624541,178
ceilings,Lizzy McAlpine,2022,4,8,9,293186992,148
Cupid,Fifty Fifty,2023,2,24,10,139681964,120
I AM,IVE,2023,4,10,15,123132751,122
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1997,1,1,2,103762518,144
Shorty Party,"Cartel De Santa, La Kelly",2023,3,4,12,162887075,96
Super,SEVENTEEN,2023,4,24,12,91221625,137
Slut Me Out,NLE Choppa,2022,4,22,4,190490915,121
Double Fantasy (with Future),"The Weeknd, Future",2023,4,21,0,96180277,119
All Of The Girls You Loved Before,Taylor Swift,2019,8,23,6,185240616,96
PROVENZA,Karol G,2022,4,21,34,885093467,111
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,4,14,4,104992946,148
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023,2,3,10,147290338,182
Shivers,Ed Sheeran,2021,9,9,30,1302184087,141
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2022,12,30,6,158950978,145
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2023,4,25,9,76910644,110
Komang,Raim Laode,2022,8,16,4,137123880,134
DESPECHï¿,ROSALï¿½,2022,7,28,33,782369383,130
Made You Look,Meghan Trainor,2022,10,21,6,502574952,145
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,2,5,10,207033255,130
No Se Va,Grupo Frontera,2022,4,28,18,404887295,173
Punto G,Quevedo,2022,11,4,35,381161027,92
Lovers Rock,TV Girl,2014,6,5,13,466231982,105
METAMORPHOSIS,INTERWORLD,2021,11,25,24,357580552,175
Mami Chula,"Quevedo, Jhayco",2023,4,27,4,61105704,120
En Paris,"El Chachito, Junior H",2022,12,24,5,198275403,139
Set Me Free Pt.2,Jimin,2023,3,17,13,168448603,132
I Was Never There,"The Weeknd, Gesaffelstein",2018,3,29,15,705469769,114
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023,5,4,0,34502215,145
Shut Down,BLACKPINK,2022,9,16,17,482175240,110
Gato de Noche,"Nengo Flow, Bad Bunny",2022,12,22,30,304118600,94
Call Out My Name,The Weeknd,2018,3,29,6,1449799467,134
Like Crazy (English Version),Jimin,2023,3,24,19,173627354,120
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,2,2,4,90025258,123
Sunroof,"Nicky Youre, Dazy",2021,12,3,17,652704649,131
Lose Yourself - Soundtrack Version,Eminem,2002,1,1,21,1829992958,171
Superman,"Eminem, Dina Rae",2002,5,26,14,655466831,130
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023,3,2,34,146409671,94
People Pt.2 (feat. IU),"IU, Agust D",2023,4,7,4,95816024,89
REMIX EXCLUSIVO,Feid,2023,3,17,9,117206995,87
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023,3,22,3,100409613,124
DOGTOOTH,"Tyler, The Creator",2023,3,27,0,80758350,78
10:35,"Tiï¿½ï¿½sto, Tate M",2022,11,1,26,325592432,120
SORRY NOT SORRY,"Tyler, The Creator",2023,3,31,0,58473276,96
HAPPY,NF,2023,3,25,0,52722996,106
La Bebe,Yng Lvcas,2021,12,24,17,191945597,170
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023,3,24,0,77377503,134
Late Night Talking,Harry Styles,2022,5,20,8,743693613,115
Leï¿½,Marï¿½ï¿½lia Mendo,2022,12,9,4,267789608,130
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2020,3,20,5,1221813483,118
Something in the Orange,Zach Bryan,2022,4,22,12,449701773,110
VOID,Melanie Martinez,2023,3,29,0,67070410,100
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023,3,14,6,116334601,142
Midnight Rain,Taylor Swift,2022,10,21,4,433356509,140
If We Ever Broke Up,Mae Stephens,2023,2,10,4,165584767,116
You Proof,Morgan Wallen,2022,5,13,9,367814306,120
LA INOCENTE,"Feid, Mora",2022,4,1,37,477033549,92
Malas Decisiones,Kenia OS,2022,10,26,2,156214700,110
Murder In My Mind,Kordhell,2022,1,21,20,448843705,120
Gangsta's Paradise,"Coolio, L.V.",1995,7,11,17,1357608774,80
CAIRO,"Karol G, Ovy On The Drums",2022,11,13,26,294352144,115
I Love You So,The Walters,2014,11,28,7,972164968,76
Dark Red,Steve Lacy,2017,2,20,7,920045682,172
Say You Won't Let Go,James Arthur,2016,9,9,16,2420461338,99
The Hills,The Weeknd,2015,5,27,4,1947371785,136
Heart To Heart,Mac DeMarco,2019,5,10,0,244658767,150
Peaches (from The Super Mario Bros. Movie),Jack Black,2023,4,7,0,68216992,92
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",2022,12,15,16,223582566,95
LOKERA,"Brray, Rauw Alejandro, Lyanno",2022,7,25,30,471819764,102
Low,SZA,2022,12,9,0,272377463,145
Numb,Linkin Park,2003,3,24,5,1361425037,110
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2023,2,24,0,149778242,95
on the street (with J. Cole),"j-hope, J. Cole",2023,3,3,2,116599790,94
One Thing At A Time,Morgan Wallen,2022,12,2,4,148469433,142
Miss You,"Robin Schulz, Oliver Tree",2022,8,5,10,497225336,145
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,2023,3,3,4,88791109,121
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,2023,3,3,6,125917280,140
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",2023,2,23,0,105062254,137
Everything I Love,Morgan Wallen,2023,1,31,0,95623148,104
Heaven,Niall Horan,2023,2,17,2,144584800,92
LET GO,Central Cee,2022,12,15,20,298063749,146
Sial,Mahalini,2023,1,23,4,166570053,120
I Wrote The Book,Morgan Wallen,2023,1,31,0,83021468,144
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2022,11,5,0,139836056,94
SPIT IN MY FACE!,ThxSoMch,2022,10,31,14,303216294,94
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2022,12,15,15,221409663,113
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,3,3,0,58890931,148
Red Ruby Da Sleeze,Nicki Minaj,2023,3,3,0,81419389,98
Kahani Suno 2.0,Kaifi Khalil,2022,5,31,6,156777415,140
Nobody Gets Me,SZA,2022,12,9,6,284908316,100
PERO Tï¿,"Karol G, Quevedo",2023,2,23,11,93438910,140
Hype Boy,NewJeans,2022,8,1,17,363472647,100
Bloody Mary,Lady Gaga,2011,1,1,0,372476382,100
Monotonï¿½,"Ozuna, Shakira",2022,10,19,15,380726517,132
ýýý98 Braves,Morgan Wallen,2023,3,3,0,56533272,142
WANDA,Quevedo,2023,1,20,22,175399345,176
Thought You Should Know,Morgan Wallen,2022,5,6,4,203221468,140
In The End,Linkin Park,2000,10,24,6,1624165576,105
Zona De Perigo,Leo Santana,2022,12,8,4,134294498,135
Lovezinho,Treyce,2022,7,28,0,70069745,128
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022,6,3,14,609293408,101
Neverita,Bad Bunny,2022,5,6,30,671365962,122
Vista Al Mar,Quevedo,2022,9,8,34,362361576,105
